Project ID,State,District,MP Name,Project Name,Category,Cost (INR),Funds Released (INR),Sanction Date,Completion Status,Physical Completion (%),Implementing Agency,Vendor Name,Target Beneficiary,Latitude,Longitude
MPLAD-UT-2023-1202,Uttar Pradesh,Kanpur Nagar,Yogi Sharan,Construction of additional classrooms in government higher secondary school in Kanpur Nagar,Education (School infrastructure/Libraries),3900000,3900000,2023-07-17,Completed,100,Varanasi Municipal Corporation,Elite Infrastructure Group,General,27.3205,81.13334
MPLAD-UT-2024-1203,Uttar Pradesh,Gorakhpur,Manoj Tiwari,Repair and renovation of boundary wall and roofing of government primary school in Gorakhpur,Education (School infrastructure/Libraries),2600000,2600000,2024-04-13,Completed,100,Varanasi Municipal Corporation,Global Contracting & Co.,General,28.11223,81.67507
MPLAD-UT-2023-1204,Uttar Pradesh,Lucknow,Rajesh Singh,Provision of clean drinking water overhead tank of 10000 liters capacity in Lucknow,Drinking Water Facility,800000,480000,2023-10-16,In Progress,62,Kanpur PWD,Om Shanti Developers,Scheduled Caste (SC),27.31607,82.11664
MPLAD-UT-2024-1205,Uttar Pradesh,Varanasi,Rajesh Singh,Construction of passenger waiting shelter at central district bus stand in Varanasi,Community Assets (Halls/Shelters),3200000,2560000,2024-08-18,In Progress,68,Kanpur PWD,Sai Ram Constructions,General,26.00248,82.24919
MPLAD-UT-2024-1206,Uttar Pradesh,Gorakhpur,Akhilesh Yadav,Supply and installation of open-air gymnasium equipment in public park in Gorakhpur,Sports Infrastructure (Playgrounds/Gyms),1900000,1900000,2024-03-20,Completed,100,Gorakhpur Development Authority,Metro Urban Projects,General,25.96313,80.4015
MPLAD-UT-2026-1207,Uttar Pradesh,Lucknow,Yogi Sharan,Interlocking tiles paving and repair of street internal pathways in Lucknow,"Roads, Pathways & Bridges",3200000,1280000,2026-03-12,Sanctioned but not started,0,Gorakhpur Development Authority,Vardhan Infrastructure & Sons,General,26.44346,81.07339
MPLAD-UT-2026-1208,Uttar Pradesh,Kanpur Nagar,Manoj Tiwari,Setting up of solar power backup grid for public health clinic emergency room in Kanpur Nagar,Public Health (Hospitals/Clinics),2000000,800000,2026-01-25,In Progress,84,Varanasi Municipal Corporation,Sai Ram Constructions,General,27.87262,79.93306
MPLAD-UT-2026-1209,Uttar Pradesh,Kanpur Nagar,Rajesh Singh,Installation of hybrid solar lighting systems in government office compounds in Kanpur Nagar,Non-conventional Energy (Solar lights),1300000,0,2026-05-21,Sanctioned but not started,0,Gorakhpur Development Authority,Sai Ram Constructions,General,25.91001,81.44012
MPLAD-UT-2025-1210,Uttar Pradesh,Kanpur Nagar,Akhilesh Yadav,Construction of additional classrooms in government higher secondary school in Kanpur Nagar,Education (School infrastructure/Libraries),2300000,2300000,2025-07-12,Completed,100,Lucknow Development Authority,Om Shanti Developers,General,27.10877,82.12086
MPLAD-UT-2025-1211,Uttar Pradesh,Varanasi,Yogi Sharan,Repair and renovation of boundary wall and roofing of government primary school in Varanasi,Education (School infrastructure/Libraries),2100000,2100000,2025-04-12,Completed,100,Gorakhpur Development Authority,A-1 Builders Ltd,General,25.93542,80.07007
MPLAD-UT-2024-1212,Uttar Pradesh,Lucknow,Manoj Tiwari,Repair and renovation of boundary wall and roofing of government primary school in Lucknow,Education (School infrastructure/Libraries),4400000,4400000,2024-10-03,Completed,100,Varanasi Municipal Corporation,Balaji Enterprises,General,27.62654,80.64199
MPLAD-UT-2026-1213,Uttar Pradesh,Gorakhpur,Akhilesh Yadav,Provision of mobile medical health unit vehicle with essential diagnostic tools in Gorakhpur,Public Health (Hospitals/Clinics),3100000,2480000,2026-03-15,In Progress,6,UP Jal Nigam,Elite Infrastructure Group,General,27.58489,80.4607
MPLAD-UT-2024-1214,Uttar Pradesh,Varanasi,Akhilesh Yadav,Supply and installation of integrated solar-powered LED street lights in dark spots in Varanasi,Non-conventional Energy (Solar lights),1400000,1400000,2024-08-27,Completed,100,UP Jal Nigam,Dynamic Construction Corp,General,25.34866,81.15993
MPLAD-UT-2025-1215,Uttar Pradesh,Gorakhpur,Yogi Sharan,Construction of outpatient department (OPD) extension hall in community hospital in Gorakhpur,Public Health (Hospitals/Clinics),2100000,1680000,2025-04-06,In Progress,84,Kanpur PWD,Global Contracting & Co.,General,26.7979,81.46382
MPLAD-UT-2025-1216,Uttar Pradesh,Prayagraj,Akhilesh Yadav,Construction of concrete boundary wall around central public burial ground in Prayagraj,Community Assets (Halls/Shelters),2000000,1600000,2025-05-22,In Progress,68,Kanpur PWD,Metro Urban Projects,General,26.76495,82.2507
MPLAD-UT-2023-1217,Uttar Pradesh,Gorakhpur,Rajesh Singh,Installation of high-capacity borewell with dual pump in rural habitations in Gorakhpur,Drinking Water Facility,1800000,720000,2023-09-08,In Progress,86,Gorakhpur Development Authority,Vardhan Infrastructure & Sons,General,25.9943,81.62151
MPLAD-UT-2026-1218,Uttar Pradesh,Lucknow,Vipin Mishra,Development of shaded public resting park with seating benches and pathways in Lucknow,Community Assets (Halls/Shelters),1600000,1600000,2026-02-14,Completed,100,Gorakhpur Development Authority,A-1 Builders Ltd,General,25.31984,81.15493
MPLAD-UT-2023-1219,Uttar Pradesh,Lucknow,Rajesh Singh,Renovation and upgradation of pediatric ward in district hospital in Lucknow,Public Health (Hospitals/Clinics),2400000,2400000,2023-07-06,Completed,100,Gorakhpur Development Authority,Siddharth Construction Group,General,27.3221,81.9185
MPLAD-UT-2026-1220,Uttar Pradesh,Varanasi,Rajesh Singh,Upgradation of village mud road into metalled road with proper drainage in Varanasi,"Roads, Pathways & Bridges",2100000,1260000,2026-05-14,In Progress,22,Lucknow Development Authority,Pioneer Engineering,Scheduled Caste (SC),25.53706,82.37789
MPLAD-UT-2023-1221,Uttar Pradesh,Kanpur Nagar,Yogi Sharan,Construction of library building and provision of educational furniture in Kanpur Nagar,Education (School infrastructure/Libraries),3600000,3600000,2023-11-13,Completed,100,Varanasi Municipal Corporation,Vardhan Infrastructure & Sons,General,27.57876,79.7805
MPLAD-UT-2023-1222,Uttar Pradesh,Kanpur Nagar,Manoj Tiwari,Construction of multipurpose community hall for public social functions in Kanpur Nagar,Community Assets (Halls/Shelters),3500000,3500000,2023-06-20,Completed,100,Gorakhpur Development Authority,Dynamic Construction Corp,General,25.54806,82.03599
MPLAD-UT-2026-1223,Uttar Pradesh,Prayagraj,Yogi Sharan,Provision of clean drinking water overhead tank of 10000 liters capacity in Prayagraj,Drinking Water Facility,800000,800000,2026-01-29,Completed,100,Lucknow Development Authority,A-1 Builders Ltd,General,28.07248,81.55329
MPLAD-UT-2025-1224,Uttar Pradesh,Prayagraj,Yogi Sharan,Provision of clean drinking water overhead tank of 10000 liters capacity in Prayagraj,Drinking Water Facility,1800000,1440000,2025-03-06,In Progress,73,Gorakhpur Development Authority,Dynamic Construction Corp,General,27.55676,81.63813
MPLAD-UT-2025-1225,Uttar Pradesh,Kanpur Nagar,Rajesh Singh,Metalling and resurfacing of approach road to agriculture cooperative market in Kanpur Nagar,"Roads, Pathways & Bridges",2200000,2200000,2025-08-05,Completed,100,UP Jal Nigam,Metro Urban Projects,General,26.29519,81.76683
MPLAD-UT-2025-1226,Uttar Pradesh,Varanasi,Rajesh Singh,Development of public sports playground with jogging track and fencing in Varanasi,Sports Infrastructure (Playgrounds/Gyms),1300000,520000,2025-11-12,In Progress,83,Gorakhpur Development Authority,Balaji Enterprises,General,27.11551,81.3416
MPLAD-UT-2025-1227,Uttar Pradesh,Gorakhpur,Manoj Tiwari,Supply and installation of RO drinking water purification plant in public spaces in Gorakhpur,Drinking Water Facility,1700000,1700000,2025-12-09,Completed,100,UP Jal Nigam,Global Contracting & Co.,Scheduled Tribe (ST),26.36743,82.32343
MPLAD-UT-2025-1228,Uttar Pradesh,Kanpur Nagar,Vipin Mishra,Supply and installation of integrated solar-powered LED street lights in dark spots in Kanpur Nagar,Non-conventional Energy (Solar lights),1700000,680000,2025-01-25,In Progress,64,Gorakhpur Development Authority,Sai Ram Constructions,General,25.76266,81.63503
MPLAD-UT-2023-1229,Uttar Pradesh,Varanasi,Manoj Tiwari,Development of public sports playground with jogging track and fencing in Varanasi,Sports Infrastructure (Playgrounds/Gyms),1200000,1200000,2023-06-11,Completed,100,UP Jal Nigam,Elite Infrastructure Group,Scheduled Caste (SC),26.37975,80.3093
MPLAD-UT-2026-1230,Uttar Pradesh,Varanasi,Rajesh Singh,Installation of hybrid solar lighting systems in government office compounds in Varanasi,Non-conventional Energy (Solar lights),1300000,520000,2026-04-15,In Progress,6,Varanasi Municipal Corporation,Apex Infrastructure,General,26.36174,79.77919
MPLAD-UT-2025-1231,Uttar Pradesh,Gorakhpur,Akhilesh Yadav,Supply and installation of RO drinking water purification plant in public spaces in Gorakhpur,Drinking Water Facility,1100000,440000,2025-08-03,In Progress,95,Kanpur PWD,Om Shanti Developers,Scheduled Caste (SC),26.86331,81.55595
MPLAD-UT-2024-1232,Uttar Pradesh,Varanasi,Vipin Mishra,Provision of mobile medical health unit vehicle with essential diagnostic tools in Varanasi,Public Health (Hospitals/Clinics),3000000,1800000,2024-03-25,In Progress,70,UP Jal Nigam,Sai Ram Constructions,General,26.56331,80.95269
MPLAD-UT-2024-1233,Uttar Pradesh,Lucknow,Akhilesh Yadav,Repair and renovation of boundary wall and roofing of government primary school in Lucknow,Education (School infrastructure/Libraries),3400000,3400000,2024-07-05,Completed,100,UP Jal Nigam,Apex Infrastructure,General,25.70647,79.5203
MPLAD-UT-2025-1234,Uttar Pradesh,Kanpur Nagar,Akhilesh Yadav,Setting up of centralized solar micro-grid for rural electrification in Kanpur Nagar,Non-conventional Energy (Solar lights),1200000,1200000,2025-04-16,Completed,100,Gorakhpur Development Authority,Vardhan Infrastructure & Sons,General,28.22268,79.90837
MPLAD-UT-2025-1235,Uttar Pradesh,Prayagraj,Yogi Sharan,Development of shaded public resting park with seating benches and pathways in Prayagraj,Community Assets (Halls/Shelters),2000000,2000000,2025-08-24,Completed,100,Varanasi Municipal Corporation,Sai Ram Constructions,General,27.50462,81.39871
MPLAD-UT-2025-1236,Uttar Pradesh,Gorakhpur,Vipin Mishra,Setting up of centralized solar micro-grid for rural electrification in Gorakhpur,Non-conventional Energy (Solar lights),1800000,1800000,2025-08-13,Completed,100,UP Jal Nigam,Apex Infrastructure,General,28.0962,80.0994
MPLAD-UT-2024-1237,Uttar Pradesh,Gorakhpur,Vipin Mishra,Extension of water pipeline networks in uncovered slums in Gorakhpur,Drinking Water Facility,1600000,1600000,2024-08-03,Completed,100,Gorakhpur Development Authority,Sai Ram Constructions,General,27.79385,79.70748
MPLAD-UT-2024-1238,Uttar Pradesh,Kanpur Nagar,Manoj Tiwari,Construction of outpatient department (OPD) extension hall in community hospital in Kanpur Nagar,Public Health (Hospitals/Clinics),2300000,2300000,2024-04-11,Completed,100,Varanasi Municipal Corporation,Pioneer Engineering,General,27.66723,79.7219
MPLAD-UT-2025-1239,Uttar Pradesh,Gorakhpur,Manoj Tiwari,Procurement of portable solar lanterns for high-altitude village hamlets in Gorakhpur,Non-conventional Energy (Solar lights),1300000,780000,2025-10-04,In Progress,80,Gorakhpur Development Authority,Siddharth Construction Group,General,27.9865,81.11072
MPLAD-UT-2023-1240,Uttar Pradesh,Lucknow,Rajesh Singh,Supply and installation of open-air gymnasium equipment in public park in Lucknow,Sports Infrastructure (Playgrounds/Gyms),3000000,3000000,2023-08-30,Completed,100,Varanasi Municipal Corporation,Vardhan Infrastructure & Sons,General,27.33242,80.69885
MPLAD-UT-2024-1241,Uttar Pradesh,Prayagraj,Manoj Tiwari,Installation of high-capacity borewell with dual pump in rural habitations in Prayagraj,Drinking Water Facility,900000,900000,2024-08-28,Completed,100,Lucknow Development Authority,Siddharth Construction Group,Scheduled Tribe (ST),26.85639,81.24155
MPLAD-UT-2026-1242,Uttar Pradesh,Gorakhpur,Vipin Mishra,Provision of sports equipment and fitness kits for youth community center in Gorakhpur,Sports Infrastructure (Playgrounds/Gyms),2400000,0,2026-03-21,Sanctioned but not started,0,Kanpur PWD,Elite Infrastructure Group,Scheduled Tribe (ST),25.61365,80.74793
MPLAD-UT-2025-1243,Uttar Pradesh,Lucknow,Rajesh Singh,Construction of concrete basketball court with standard seating gallery in Lucknow,Sports Infrastructure (Playgrounds/Gyms),2000000,1200000,2025-12-19,In Progress,63,Varanasi Municipal Corporation,Balaji Enterprises,Scheduled Caste (SC),26.72849,80.8145
MPLAD-UT-2024-1244,Uttar Pradesh,Kanpur Nagar,Akhilesh Yadav,Procurement and supply of critical care medical equipment for primary health center in Kanpur Nagar,Public Health (Hospitals/Clinics),4000000,3200000,2024-01-22,In Progress,81,Lucknow Development Authority,Apex Infrastructure,General,27.33142,79.99306
MPLAD-UT-2025-1245,Uttar Pradesh,Varanasi,Yogi Sharan,Construction of small pedestrian over-bridge across local stream in Varanasi,"Roads, Pathways & Bridges",3200000,3200000,2025-10-21,Completed,100,Varanasi Municipal Corporation,Global Contracting & Co.,General,27.69327,81.38928
MPLAD-UT-2025-1246,Uttar Pradesh,Varanasi,Manoj Tiwari,Provisioning of 500L drinking water tank in public primary school in Varanasi,Drinking Water Facility,800000,800000,2025-12-07,Completed,100,Kanpur PWD,Pioneer Engineering,Scheduled Tribe (ST),25.31335,80.14439
MPLAD-UT-2025-1247,Uttar Pradesh,Prayagraj,Rajesh Singh,Upgradation of sanitation facilities and public latrines in commercial market in Prayagraj,Sanitation & Public Health,1500000,1500000,2025-06-19,Completed,100,Gorakhpur Development Authority,Global Contracting & Co.,General,26.67265,80.28706
MPLAD-UT-2024-1248,Uttar Pradesh,Kanpur Nagar,Yogi Sharan,Procurement of portable solar lanterns for high-altitude village hamlets in Kanpur Nagar,Non-conventional Energy (Solar lights),1100000,1100000,2024-01-20,Completed,100,UP Jal Nigam,Balaji Enterprises,Scheduled Tribe (ST),27.83655,81.35209
MPLAD-UT-2024-1249,Uttar Pradesh,Prayagraj,Yogi Sharan,Provision of modern bio-toilets in public high school premises in Prayagraj,Sanitation & Public Health,2000000,800000,2024-01-28,In Progress,79,Gorakhpur Development Authority,Dynamic Construction Corp,Scheduled Tribe (ST),26.41992,79.92408
MPLAD-UT-2025-1250,Uttar Pradesh,Kanpur Nagar,Manoj Tiwari,Metalling and resurfacing of approach road to agriculture cooperative market in Kanpur Nagar,"Roads, Pathways & Bridges",2700000,2160000,2025-10-14,In Progress,61,Gorakhpur Development Authority,Metro Urban Projects,Scheduled Caste (SC),27.3803,81.43578
MPLAD-UT-2024-1251,Uttar Pradesh,Varanasi,Yogi Sharan,Development of shaded public resting park with seating benches and pathways in Varanasi,Community Assets (Halls/Shelters),1900000,1900000,2024-06-18,Completed,100,Varanasi Municipal Corporation,Elite Infrastructure Group,General,27.15823,82.09657
MPLAD-UT-2026-1252,Uttar Pradesh,Lucknow,Manoj Tiwari,Repair and renovation of boundary wall and roofing of government primary school in Lucknow,Education (School infrastructure/Libraries),4500000,3600000,2026-04-01,In Progress,26,Varanasi Municipal Corporation,Elite Infrastructure Group,General,26.54689,82.01968
MPLAD-UT-2023-1253,Uttar Pradesh,Kanpur Nagar,Vipin Mishra,Provision of clean drinking water overhead tank of 10000 liters capacity in Kanpur Nagar,Drinking Water Facility,900000,900000,2023-08-06,Completed,100,Lucknow Development Authority,Global Contracting & Co.,Scheduled Caste (SC),26.91283,80.00463
MPLAD-UT-2024-1254,Uttar Pradesh,Kanpur Nagar,Yogi Sharan,Upgradation of sanitation facilities and public latrines in commercial market in Kanpur Nagar,Sanitation & Public Health,1300000,1300000,2024-11-30,Completed,100,Kanpur PWD,Balaji Enterprises,General,26.92613,81.77036
MPLAD-UT-2024-1255,Uttar Pradesh,Kanpur Nagar,Yogi Sharan,Supply and installation of integrated solar-powered LED street lights in dark spots in Kanpur Nagar,Non-conventional Energy (Solar lights),1600000,1600000,2024-10-19,Completed,100,Varanasi Municipal Corporation,A-1 Builders Ltd,General,26.6492,80.54573
MPLAD-UT-2025-1256,Uttar Pradesh,Lucknow,Manoj Tiwari,Establishment of digital computer lab with 15 workstations in public school in Lucknow,Education (School infrastructure/Libraries),4000000,4000000,2025-05-19,Completed,100,Lucknow Development Authority,Om Shanti Developers,General,27.19831,79.99794
MPLAD-UT-2026-1257,Uttar Pradesh,Varanasi,Vipin Mishra,Provisioning of 500L drinking water tank in public primary school in Varanasi,Drinking Water Facility,1000000,800000,2026-05-26,In Progress,38,Varanasi Municipal Corporation,Dynamic Construction Corp,Scheduled Tribe (ST),26.27096,81.61216
MPLAD-UT-2023-1258,Uttar Pradesh,Prayagraj,Yogi Sharan,Provision of modern bio-toilets in public high school premises in Prayagraj,Sanitation & Public Health,2300000,2300000,2023-09-30,Completed,100,UP Jal Nigam,Vardhan Infrastructure & Sons,General,25.68066,82.09824
MPLAD-UT-2024-1259,Uttar Pradesh,Varanasi,Vipin Mishra,Repair and renovation of boundary wall and roofing of government primary school in Varanasi,Education (School infrastructure/Libraries),3000000,3000000,2024-03-18,Completed,100,UP Jal Nigam,Vardhan Infrastructure & Sons,General,26.10615,80.74268
MPLAD-UT-2024-1260,Uttar Pradesh,Kanpur Nagar,Rajesh Singh,Procurement of portable solar lanterns for high-altitude village hamlets in Kanpur Nagar,Non-conventional Energy (Solar lights),1600000,1600000,2024-12-21,Completed,100,Lucknow Development Authority,Balaji Enterprises,General,26.66409,80.96413
MPLAD-UT-2023-1261,Uttar Pradesh,Gorakhpur,Rajesh Singh,Development of shaded public resting park with seating benches and pathways in Gorakhpur,Community Assets (Halls/Shelters),4200000,4200000,2023-10-08,Completed,100,Lucknow Development Authority,Pioneer Engineering,General,25.95349,80.78893
MPLAD-UT-2024-1262,Uttar Pradesh,Varanasi,Manoj Tiwari,Construction of concrete basketball court with standard seating gallery in Varanasi,Sports Infrastructure (Playgrounds/Gyms),2000000,2000000,2024-02-23,Completed,100,UP Jal Nigam,Elite Infrastructure Group,Scheduled Tribe (ST),27.66491,82.18246
MPLAD-UT-2024-1263,Uttar Pradesh,Lucknow,Rajesh Singh,Construction of multipurpose community hall for public social functions in Lucknow,Community Assets (Halls/Shelters),1800000,1800000,2024-04-19,Completed,100,Lucknow Development Authority,Elite Infrastructure Group,General,25.30203,82.3741
MPLAD-UT-2025-1264,Uttar Pradesh,Varanasi,Vipin Mishra,Construction of small pedestrian over-bridge across local stream in Varanasi,"Roads, Pathways & Bridges",1700000,1700000,2025-06-08,Completed,100,UP Jal Nigam,Apex Infrastructure,General,26.41553,82.2114
MPLAD-UT-2023-1265,Uttar Pradesh,Varanasi,Rajesh Singh,Construction of outpatient department (OPD) extension hall in community hospital in Varanasi,Public Health (Hospitals/Clinics),2800000,2800000,2023-12-04,Completed,100,Kanpur PWD,Apex Infrastructure,Scheduled Caste (SC),25.30326,80.93042
MPLAD-UT-2025-1266,Uttar Pradesh,Varanasi,Yogi Sharan,Construction of multipurpose community hall for public social functions in Varanasi,Community Assets (Halls/Shelters),1500000,1200000,2025-05-04,In Progress,87,Varanasi Municipal Corporation,Dynamic Construction Corp,General,26.7331,80.18684
MPLAD-UT-2024-1267,Uttar Pradesh,Lucknow,Rajesh Singh,Construction of concrete basketball court with standard seating gallery in Lucknow,Sports Infrastructure (Playgrounds/Gyms),1900000,1900000,2024-03-07,Completed,100,Lucknow Development Authority,Dynamic Construction Corp,General,27.22473,81.53141
MPLAD-UT-2024-1268,Uttar Pradesh,Lucknow,Yogi Sharan,Provisioning of 500L drinking water tank in public primary school in Lucknow,Drinking Water Facility,1500000,1500000,2024-05-02,Completed,100,Gorakhpur Development Authority,Balaji Enterprises,General,27.4673,81.38424
MPLAD-UT-2023-1269,Uttar Pradesh,Varanasi,Manoj Tiwari,Construction of passenger waiting shelter at central district bus stand in Varanasi,Community Assets (Halls/Shelters),1700000,1360000,2023-12-23,In Progress,67,Gorakhpur Development Authority,Siddharth Construction Group,General,26.4521,82.38975
MPLAD-UT-2025-1270,Uttar Pradesh,Prayagraj,Vipin Mishra,Procurement and supply of critical care medical equipment for primary health center in Prayagraj,Public Health (Hospitals/Clinics),2200000,2200000,2025-01-04,Completed,100,Varanasi Municipal Corporation,A-1 Builders Ltd,General,27.84368,81.47522
MPLAD-UT-2023-1271,Uttar Pradesh,Prayagraj,Vipin Mishra,Repair and renovation of boundary wall and roofing of government primary school in Prayagraj,Education (School infrastructure/Libraries),2400000,1440000,2023-09-20,In Progress,91,Gorakhpur Development Authority,Apex Infrastructure,Scheduled Caste (SC),26.02325,81.41425
MPLAD-UT-2025-1272,Uttar Pradesh,Lucknow,Yogi Sharan,Construction of concrete basketball court with standard seating gallery in Lucknow,Sports Infrastructure (Playgrounds/Gyms),1400000,1400000,2025-08-01,Completed,100,Lucknow Development Authority,Pioneer Engineering,Scheduled Caste (SC),26.39624,81.54883
MPLAD-UT-2024-1273,Uttar Pradesh,Kanpur Nagar,Rajesh Singh,Construction of community toilet block for women and children in Kanpur Nagar,Sanitation & Public Health,1800000,1080000,2024-08-15,In Progress,63,Lucknow Development Authority,Metro Urban Projects,Scheduled Caste (SC),26.15946,81.63789
MPLAD-UT-2024-1274,Uttar Pradesh,Kanpur Nagar,Manoj Tiwari,Upgradation of sanitation facilities and public latrines in commercial market in Kanpur Nagar,Sanitation & Public Health,2700000,2700000,2024-04-08,Completed,100,Kanpur PWD,Apex Infrastructure,Scheduled Caste (SC),26.22972,81.03391
MPLAD-UT-2023-1275,Uttar Pradesh,Varanasi,Vipin Mishra,Provision of sports equipment and fitness kits for youth community center in Varanasi,Sports Infrastructure (Playgrounds/Gyms),2800000,2800000,2023-10-14,Completed,100,Gorakhpur Development Authority,Siddharth Construction Group,General,26.61246,82.36028
MPLAD-UT-2025-1276,Uttar Pradesh,Varanasi,Rajesh Singh,Procurement of automated solid waste collection vehicles for municipality in Varanasi,Sanitation & Public Health,1300000,1040000,2025-12-15,In Progress,49,Varanasi Municipal Corporation,Siddharth Construction Group,General,27.27416,80.02694
MPLAD-UT-2025-1277,Uttar Pradesh,Lucknow,Vipin Mishra,Interlocking tiles paving and repair of street internal pathways in Lucknow,"Roads, Pathways & Bridges",4500000,4500000,2025-05-11,Completed,100,Lucknow Development Authority,Metro Urban Projects,Scheduled Caste (SC),27.64896,81.6623
MPLAD-UT-2023-1278,Uttar Pradesh,Varanasi,Akhilesh Yadav,Procurement and supply of critical care medical equipment for primary health center in Varanasi,Public Health (Hospitals/Clinics),3900000,3900000,2023-07-31,Completed,100,Varanasi Municipal Corporation,Pioneer Engineering,General,26.11594,79.69162
MPLAD-UT-2023-1279,Uttar Pradesh,Gorakhpur,Rajesh Singh,Renovation and roofing repair of local community cultural assembly center in Gorakhpur,Community Assets (Halls/Shelters),2600000,2600000,2023-09-22,Completed,100,Kanpur PWD,Om Shanti Developers,General,25.80064,79.97193
MPLAD-UT-2023-1280,Uttar Pradesh,Lucknow,Yogi Sharan,Provision of science laboratory equipment and student seating benches in Lucknow,Education (School infrastructure/Libraries),1500000,600000,2023-08-30,In Progress,75,Lucknow Development Authority,Elite Infrastructure Group,Scheduled Caste (SC),26.39193,82.26068
MPLAD-UT-2024-1281,Uttar Pradesh,Varanasi,Rajesh Singh,Provision of solar-powered water pumping system for municipal green parks in Varanasi,Non-conventional Energy (Solar lights),1000000,1000000,2024-10-21,Completed,100,Gorakhpur Development Authority,Siddharth Construction Group,Scheduled Caste (SC),26.25981,81.97799
MPLAD-UT-2026-1282,Uttar Pradesh,Gorakhpur,Akhilesh Yadav,Provision of clean drinking water overhead tank of 10000 liters capacity in Gorakhpur,Drinking Water Facility,800000,0,2026-04-22,Sanctioned but not started,0,Lucknow Development Authority,Elite Infrastructure Group,General,27.8981,81.82058
MPLAD-UT-2024-1283,Uttar Pradesh,Prayagraj,Akhilesh Yadav,Construction of multipurpose community hall for public social functions in Prayagraj,Community Assets (Halls/Shelters),2600000,2600000,2024-07-15,Completed,100,Lucknow Development Authority,Om Shanti Developers,General,27.65352,81.71873
MPLAD-UT-2024-1284,Uttar Pradesh,Varanasi,Manoj Tiwari,Construction of passenger waiting shelter at central district bus stand in Varanasi,Community Assets (Halls/Shelters),3800000,2280000,2024-10-15,In Progress,60,UP Jal Nigam,A-1 Builders Ltd,General,25.99899,80.53927
MPLAD-UT-2024-1285,Uttar Pradesh,Lucknow,Akhilesh Yadav,Setting up of centralized solar micro-grid for rural electrification in Lucknow,Non-conventional Energy (Solar lights),600000,600000,2024-07-25,Completed,100,Lucknow Development Authority,Global Contracting & Co.,General,26.55945,82.38356
MPLAD-DE-2025-1286,Delhi,South Delhi,Harsh Vardhan,Provision of science laboratory equipment and student seating benches in South Delhi,Education (School infrastructure/Libraries),2800000,2800000,2025-07-02,Completed,100,NDMC,Siddharth Construction Group,General,28.47547,77.07867
MPLAD-DE-2024-1287,Delhi,North Delhi,Manoj Kumar,Extension of water pipeline networks in uncovered slums in North Delhi,Drinking Water Facility,1500000,900000,2024-02-23,In Progress,78,NDMC,Balaji Enterprises,General,28.72781,77.16789
MPLAD-DE-2024-1288,Delhi,South Delhi,Gautam Gambhir,Construction of outpatient department (OPD) extension hall in community hospital in South Delhi,Public Health (Hospitals/Clinics),1700000,680000,2024-07-20,In Progress,66,MCD West Division,Apex Infrastructure,General,28.49931,77.18982
MPLAD-DE-2025-1289,Delhi,West Delhi,Harsh Vardhan,Supply and installation of open-air gymnasium equipment in public park in West Delhi,Sports Infrastructure (Playgrounds/Gyms),2400000,2400000,2025-02-21,Completed,100,Delhi Jal Board,Sai Ram Constructions,General,28.70574,77.07713
MPLAD-DE-2023-1290,Delhi,South Delhi,Sanjay Singh,Construction of library building and provision of educational furniture in South Delhi,Education (School infrastructure/Libraries),1900000,1900000,2023-12-04,Completed,100,NDMC,Global Contracting & Co.,General,28.74052,77.16887
MPLAD-DE-2025-1291,Delhi,New Delhi,Gautam Gambhir,Construction of CC road and brick pavement linking main highway to village in New Delhi,"Roads, Pathways & Bridges",4500000,4500000,2025-09-06,Completed,100,MCD South Division,Metro Urban Projects,General,28.67442,77.12496
MPLAD-DE-2024-1292,Delhi,West Delhi,Harsh Vardhan,Construction of community toilet block for women and children in West Delhi,Sanitation & Public Health,1100000,660000,2024-08-29,In Progress,72,MCD North Division,Balaji Enterprises,General,28.65589,77.33127
MPLAD-DE-2023-1293,Delhi,New Delhi,Sanjay Singh,Procurement and supply of critical care medical equipment for primary health center in New Delhi,Public Health (Hospitals/Clinics),1500000,600000,2023-10-11,In Progress,88,Delhi Jal Board,Apex Infrastructure,Scheduled Caste (SC),28.72152,77.29881
MPLAD-DE-2025-1294,Delhi,South Delhi,Harsh Vardhan,Construction of multipurpose community hall for public social functions in South Delhi,Community Assets (Halls/Shelters),2000000,2000000,2025-11-04,Completed,100,NDMC,Elite Infrastructure Group,General,28.45884,77.25496
MPLAD-DE-2025-1295,Delhi,North Delhi,Gautam Gambhir,Construction of small pedestrian over-bridge across local stream in North Delhi,"Roads, Pathways & Bridges",2300000,1840000,2025-11-30,In Progress,32,MCD North Division,Om Shanti Developers,General,28.63509,77.24418
MPLAD-DE-2024-1296,Delhi,West Delhi,Manoj Kumar,Construction of multipurpose community hall for public social functions in West Delhi,Community Assets (Halls/Shelters),1700000,1700000,2024-12-24,Completed,100,Delhi Jal Board,Dynamic Construction Corp,General,28.57577,77.2428
MPLAD-DE-2025-1297,Delhi,East Delhi,Meenakshi Lekhi,Extension of water pipeline networks in uncovered slums in East Delhi,Drinking Water Facility,1700000,1700000,2025-06-05,Completed,100,Delhi Jal Board,Metro Urban Projects,Scheduled Caste (SC),28.68443,77.15321
MPLAD-DE-2023-1298,Delhi,East Delhi,Sanjay Singh,Setting up of centralized solar micro-grid for rural electrification in East Delhi,Non-conventional Energy (Solar lights),700000,700000,2023-07-24,Completed,100,MCD South Division,Om Shanti Developers,General,28.51571,77.31873
